:START_ID(Coach-ID),:END_ID(Country-ID),:TYPE
1930169,FRA,REPRESENTS
1930171,FRA,REPRESENTS
1930172,FRA,REPRESENTS
1930294,KAZ,REPRESENTS
1930295,KAZ,REPRESENTS
1930296,KAZ,REPRESENTS
1930311,KAZ,REPRESENTS
1930636,ARG,REPRESENTS
1930646,COL,REPRESENTS
1930666,ZAM,REPRESENTS
1930695,HAI,REPRESENTS
1930765,USA,REPRESENTS
1930922,USA,REPRESENTS
1931463,ZAM,REPRESENTS
1931488,EGY,REPRESENTS
1931494,EGY,REPRESENTS
1931502,EGY,REPRESENTS
1931612,KAZ,REPRESENTS
1931614,KAZ,REPRESENTS
1931616,KAZ,REPRESENTS
1932162,PLE,REPRESENTS
1932176,HUN,REPRESENTS
1932535,HUN,REPRESENTS
1933104,BUL,REPRESENTS
1933362,HUN,REPRESENTS
1933372,HUN,REPRESENTS
1933474,ARG,REPRESENTS
1933569,COL,REPRESENTS
1933763,ARG,REPRESENTS
1934022,ARG,REPRESENTS
1934443,ESP,REPRESENTS
1934447,ESP,REPRESENTS
1934451,ESP,REPRESENTS
1934452,ESP,REPRESENTS
1934457,ESP,REPRESENTS
1934462,ESP,REPRESENTS
1934463,ESP,REPRESENTS
1934464,ESP,REPRESENTS
1934466,ESP,REPRESENTS
1934467,ESP,REPRESENTS
1934811,COL,REPRESENTS
1934831,RSA,REPRESENTS
1934833,RSA,REPRESENTS
1934834,RSA,REPRESENTS
1934835,RSA,REPRESENTS
1934837,RSA,REPRESENTS
1935326,NGR,REPRESENTS
1935341,NGR,REPRESENTS
1935667,USA,REPRESENTS
1935669,USA,REPRESENTS
1935695,COL,REPRESENTS
1935699,COL,REPRESENTS
1935822,ESP,REPRESENTS
1935823,ESP,REPRESENTS
1935824,ESP,REPRESENTS
1935825,ESP,REPRESENTS
1935826,ESP,REPRESENTS
1935827,ESP,REPRESENTS
1935828,ESP,REPRESENTS
1935829,ESP,REPRESENTS
1935830,ESP,REPRESENTS
1935831,ESP,REPRESENTS
1935832,ESP,REPRESENTS
1935833,ESP,REPRESENTS
1935834,ESP,REPRESENTS
1935835,ESP,REPRESENTS
1935836,ESP,REPRESENTS
1935837,ESP,REPRESENTS
1935838,ESP,REPRESENTS
1936384,PNG,REPRESENTS
1936918,ANG,REPRESENTS
1938936,POR,REPRESENTS
1940069,AUS,REPRESENTS
1940074,AUS,REPRESENTS
1940075,AUS,REPRESENTS
1940078,AUS,REPRESENTS
1940088,AUS,REPRESENTS
1940089,AUS,REPRESENTS
1940092,AUS,REPRESENTS
1940093,AUS,REPRESENTS
1940094,AUS,REPRESENTS
1940331,KOR,REPRESENTS
1940570,KOR,REPRESENTS
1940575,KOR,REPRESENTS
1940578,KOR,REPRESENTS
1940583,KOR,REPRESENTS
1940584,KOR,REPRESENTS
1940930,HUN,REPRESENTS
1941188,KEN,REPRESENTS
1941189,KEN,REPRESENTS
1941198,HUN,REPRESENTS
1941323,LES,REPRESENTS
1941674,AUS,REPRESENTS
1941682,AUS,REPRESENTS
1941683,AUS,REPRESENTS
1941685,AUS,REPRESENTS
1941686,AUS,REPRESENTS
1941689,AUS,REPRESENTS
1941847,MLI,REPRESENTS
1941852,PAR,REPRESENTS
1942626,ESP,REPRESENTS
1942627,ESP,REPRESENTS
1942638,ESP,REPRESENTS
1942803,BEL,REPRESENTS
1942804,BEL,REPRESENTS
1942806,BEL,REPRESENTS
1942816,BEL,REPRESENTS
1942828,HUN,REPRESENTS
1942869,PAR,REPRESENTS
1943302,USA,REPRESENTS
1943308,USA,REPRESENTS
1943311,USA,REPRESENTS
1943842,PAR,REPRESENTS
1944188,USA,REPRESENTS
1944189,USA,REPRESENTS
1944190,USA,REPRESENTS
1944191,USA,REPRESENTS
1944971,NZL,REPRESENTS
1944972,NZL,REPRESENTS
1944973,NZL,REPRESENTS
1944974,NZL,REPRESENTS
1944977,NZL,REPRESENTS
1944979,NZL,REPRESENTS
1945000,NZL,REPRESENTS
1945433,AUS,REPRESENTS
1945439,AUS,REPRESENTS
1945443,AUS,REPRESENTS
1945447,AUS,REPRESENTS
1945451,AUS,REPRESENTS
1945457,AUS,REPRESENTS
1945459,AUS,REPRESENTS
1945474,AUS,REPRESENTS
1945548,CHN,REPRESENTS
1945549,CHN,REPRESENTS
1945550,CHN,REPRESENTS
1945552,CHN,REPRESENTS
1946315,AUS,REPRESENTS
1946317,AUS,REPRESENTS
1946582,ITA,REPRESENTS
1946583,ITA,REPRESENTS
1946585,ITA,REPRESENTS
1946907,AZE,REPRESENTS
1947221,MNE,REPRESENTS
1947623,AUS,REPRESENTS
1947628,AUS,REPRESENTS
1947636,AUS,REPRESENTS
1947637,AUS,REPRESENTS
1947638,AUS,REPRESENTS
1947758,TUN,REPRESENTS
1947762,TUN,REPRESENTS
1948319,ESP,REPRESENTS
1948320,ESP,REPRESENTS
1948321,ESP,REPRESENTS
1948322,ESP,REPRESENTS
1948429,SRB,REPRESENTS
1948431,SRB,REPRESENTS
1948432,SRB,REPRESENTS
1948433,SRB,REPRESENTS
1948434,SRB,REPRESENTS
1948438,SRB,REPRESENTS
1948749,SRB,REPRESENTS
1948750,SRB,REPRESENTS
1948752,SRB,REPRESENTS
1948764,SRB,REPRESENTS
1948904,GBR,REPRESENTS
1948911,GBR,REPRESENTS
1948913,GBR,REPRESENTS
1948914,GBR,REPRESENTS
1948915,GBR,REPRESENTS
1948979,SRB,REPRESENTS
1948980,SRB,REPRESENTS
1948981,SRB,REPRESENTS
1948983,SRB,REPRESENTS
1949017,INA,REPRESENTS
1949063,SRB,REPRESENTS
1949064,SRB,REPRESENTS
1949394,ESP,REPRESENTS
1949402,ESP,REPRESENTS
1949458,BEL,REPRESENTS
1949459,BEL,REPRESENTS
1949468,DOM,REPRESENTS
1949531,DOM,REPRESENTS
1949864,BEL,REPRESENTS
1949874,BEL,REPRESENTS
1950176,AUS,REPRESENTS
1950180,AUS,REPRESENTS
1950182,AUS,REPRESENTS
1950187,AUS,REPRESENTS
