:START_ID(Athlete-ID),:END_ID(Event-ID),medal_type,medal_date,:TYPE
1543095,WREMFS97KG,Bronze Medal,2024-08-11,WON_MEDAL
1543304,SWMW100MBR,Bronze Medal,2024-07-29,WON_MEDAL
1543317,ROWMSCULL2,Bronze Medal,2024-08-01,WON_MEDAL
1543322,ROWMSCULL2-L,Gold Medal,2024-08-02,WON_MEDAL
1543506,WLFM89KG,Silver Medal,2024-08-09,WON_MEDAL
1543509,WLFW71KG,Silver Medal,2024-08-09,WON_MEDAL
1543549,SWMM100MFR,Bronze Medal,2024-07-31,WON_MEDAL
1543549,SWMM200MFR,Gold Medal,2024-07-29,WON_MEDAL
1543963,TRIWOLYMPIC,Gold Medal,2024-07-31,WON_MEDAL
1543967,TRIMOLYMPIC,Bronze Medal,2024-07-31,WON_MEDAL
1544123,SKBWPARK,Bronze Medal,2024-08-06,WON_MEDAL
1544151,SWAWTEAM2,Silver Medal,2024-08-10,WON_MEDAL
1544179,WLFWO81KG,Bronze Medal,2024-08-11,WON_MEDAL
1544218,CLBMBLCOMB,Gold Medal,2024-08-09,WON_MEDAL
1544424,WLFMO102KG,Silver Medal,2024-08-10,WON_MEDAL
1544454,ROWMSCULL2,Bronze Medal,2024-08-01,WON_MEDAL
1544803,WREMFS86KG,Silver Medal,2024-08-09,WON_MEDAL
1544830,WREMFS65KG,Silver Medal,2024-08-11,WON_MEDAL
1544880,WREMGR87KG,Silver Medal,2024-08-08,WON_MEDAL
1544882,WREMGR130KG,Bronze Medal,2024-08-06,WON_MEDAL
1544897,WREMGR97KG,Gold Medal,2024-08-07,WON_MEDAL
1544928,WREMGR67KG,Gold Medal,2024-08-08,WON_MEDAL
1545116,MPNWINDIVID,Silver Medal,2024-08-11,WON_MEDAL
1545464,SHOXAPMT,Bronze Medal,2024-07-30,WON_MEDAL
1545688,GARW1APUB,Gold Medal,2024-08-04,WON_MEDAL
1546651,JUDM81KG,Silver Medal,2024-07-30,WON_MEDAL
1547863,ROWMSCULL4,Silver Medal,2024-07-31,WON_MEDAL
1547870,ROWMSCULL2-L,Silver Medal,2024-08-02,WON_MEDAL
1547871,ROWMSCULL4,Silver Medal,2024-07-31,WON_MEDAL
