:START_ID(Coach-ID),:END_ID(Team-ID),:TYPE
1899070,HOCMTEAM11--GBR01,COACHES
1899285,HBLMTEAM7---GER01,COACHES
1899286,HBLWTEAM7---GER01,COACHES
1899288,HBLMTEAM7---GER01,COACHES
1899289,HBLMTEAM7---GER01,COACHES
1899291,HBLMTEAM7---GER01,COACHES
1899294,HBLMTEAM7---GER01,COACHES
1899296,HBLWTEAM7---GER01,COACHES
1899298,HBLWTEAM7---GER01,COACHES
1899299,HBLMTEAM7---GER01,COACHES
1899299,HBLWTEAM7---GER01,COACHES
1899301,HBLWTEAM7---GER01,COACHES
1899303,HBLWTEAM7---GER01,COACHES
1900190,VVOMTEAM6---GER01,COACHES
1900728,FBLMTEAM11--FRA01,COACHES
1900729,FBLMTEAM11--FRA01,COACHES
1900730,FBLMTEAM11--FRA01,COACHES
1900731,FBLMTEAM11--FRA01,COACHES
1901253,VVOMTEAM6---CAN01,COACHES
1901256,VVOMTEAM6---CAN01,COACHES
1901258,VVOMTEAM6---CAN01,COACHES
1901261,VVOMTEAM6---CAN01,COACHES
1901264,VVOMTEAM6---CAN01,COACHES
1901268,VVOMTEAM6---CAN01,COACHES
1901805,BKBWTEAM5---CHN01,COACHES
1901818,BKBWTEAM5---CHN01,COACHES
1901836,BKBWTEAM5---JPN01,COACHES
1901839,BKBWTEAM5---JPN01,COACHES
1901849,BKBMTEAM5---JPN01,COACHES
1901850,BKBMTEAM5---JPN01,COACHES
1902914,VVOMTEAM6---POL01,COACHES
1902917,VVOMTEAM6---POL01,COACHES
1902918,VVOMTEAM6---POL01,COACHES
1902919,VVOMTEAM6---POL01,COACHES
1902920,VVOMTEAM6---POL01,COACHES
1902922,VVOMTEAM6---POL01,COACHES
1902924,VVOMTEAM6---POL01,COACHES
1902927,VVOMTEAM6---POL01,COACHES
1902928,VVOMTEAM6---POL01,COACHES
1903368,HBLMTEAM7---CRO01,COACHES
1903369,HBLMTEAM7---CRO01,COACHES
1903371,HBLMTEAM7---CRO01,COACHES
1903376,HBLMTEAM7---CRO01,COACHES
1903379,HBLMTEAM7---CRO01,COACHES
1903381,HBLMTEAM7---CRO01,COACHES
1903707,SWAWTEAM8---EGY01,COACHES
1903722,SWAWTEAM2---EGY01,COACHES
1903754,SWAWTEAM2---EGY01,COACHES
1903754,SWAWTEAM8---EGY01,COACHES
1903771,SWAWTEAM2---FRA01,COACHES
1903771,SWAWTEAM8---FRA01,COACHES
1903772,SWAWTEAM2---FRA01,COACHES
1903772,SWAWTEAM8---FRA01,COACHES
1903833,BKBWTEAM5---BEL01,COACHES
1903894,HOCWTEAM11--BEL01,COACHES
1903895,HOCMTEAM11--BEL01,COACHES
1903896,HOCMTEAM11--BEL01,COACHES
1903897,HOCWTEAM11--BEL01,COACHES
1903898,HOCWTEAM11--BEL01,COACHES
1903899,HOCMTEAM11--BEL01,COACHES
1903900,HOCMTEAM11--BEL01,COACHES
1906040,HOCWTEAM11--FRA01,COACHES
1906041,HOCWTEAM11--FRA01,COACHES
1906042,HOCWTEAM11--FRA01,COACHES
1906043,HOCWTEAM11--FRA01,COACHES
1906044,HOCWTEAM11--FRA01,COACHES
1906045,HOCWTEAM11--FRA01,COACHES
1906448,WPOWTEAM7---FRA01,COACHES
1906454,WPOWTEAM7---FRA01,COACHES
1906462,WPOMTEAM7---FRA01,COACHES
1906468,WPOMTEAM7---FRA01,COACHES
1908234,VVOMTEAM6---ARG01,COACHES
1908241,VVOMTEAM6---ARG01,COACHES
1908245,VVOMTEAM6---ARG01,COACHES
1908251,VVOMTEAM6---ARG01,COACHES
1908254,VVOMTEAM6---ARG01,COACHES
1908255,VVOMTEAM6---ARG01,COACHES
1908257,VVOMTEAM6---ARG01,COACHES
1908259,VVOMTEAM6---ARG01,COACHES
1908401,WPOMTEAM7---USA01,COACHES
1908402,WPOMTEAM7---USA01,COACHES
1908403,WPOMTEAM7---USA01,COACHES
1908408,WPOWTEAM7---USA01,COACHES
1908409,WPOWTEAM7---USA01,COACHES
1908410,WPOWTEAM7---USA01,COACHES
1908412,RU7WTEAM7---USA01,COACHES
1908649,VVOWTEAM6---DOM01,COACHES
1908654,VVOWTEAM6---DOM01,COACHES
1908664,VVOWTEAM6---DOM01,COACHES
1908666,FENMTEAMFOILCHN01,COACHES
1908666,FENWTEAMFOILCHN01,COACHES
1908671,FENWTEAMEPEECHN01,COACHES
1908673,FENWTEAMEPEECHN01,COACHES
1908675,FENWTEAMFOILCHN01,COACHES
