:START_ID(Official-ID),:END_ID(Country-ID),:TYPE
2005195,HON,REPRESENTS
2005200,SWE,REPRESENTS
2005201,SWE,REPRESENTS
2005206,USA,REPRESENTS
2005218,GBR,REPRESENTS
2005219,JPN,REPRESENTS
2005683,NOR,REPRESENTS
2005684,HUN,REPRESENTS
2005685,NED,REPRESENTS
2005688,CZE,REPRESENTS
2005691,GER,REPRESENTS
2005693,EST,REPRESENTS
2005696,BUL,REPRESENTS
2005697,CAN,REPRESENTS
2005698,EST,REPRESENTS
2005704,ARG,REPRESENTS
2005705,SVK,REPRESENTS
2005710,CAN,REPRESENTS
2005711,ARG,REPRESENTS
2005713,HUN,REPRESENTS
2005714,AUS,REPRESENTS
2005715,GBR,REPRESENTS
2005717,TPE,REPRESENTS
2005722,KOR,REPRESENTS
2005724,KOR,REPRESENTS
2008524,JPN,REPRESENTS
2009147,JAM,REPRESENTS
2009149,SUD,REPRESENTS
2009154,UZB,REPRESENTS
2009168,UGA,REPRESENTS
2014176,KAZ,REPRESENTS
2014177,SRI,REPRESENTS
2014178,IND,REPRESENTS
2014183,INA,REPRESENTS
2014230,MAR,REPRESENTS
2017691,GBR,REPRESENTS
2044484,JPN,REPRESENTS
2046731,ROU,REPRESENTS
2049057,FRA,REPRESENTS
2052888,ISR,REPRESENTS
2054317,ESP,REPRESENTS
2057677,ITA,REPRESENTS
2059799,DOM,REPRESENTS
2061938,GAB,REPRESENTS
2063597,BRA,REPRESENTS
2067277,MEX,REPRESENTS
2073824,HUN,REPRESENTS
2075404,FIN,REPRESENTS
2078388,GEO,REPRESENTS
2080942,UZB,REPRESENTS
2082578,CRO,REPRESENTS
2083888,CHN,REPRESENTS
2084202,AUS,REPRESENTS
2084318,HUN,REPRESENTS
2084667,CHN,REPRESENTS
2084843,SWE,REPRESENTS
2084910,BRA,REPRESENTS
2085388,CRO,REPRESENTS
2085933,FRA,REPRESENTS
2086405,CHN,REPRESENTS
2088103,ESP,REPRESENTS
2090832,AUS,REPRESENTS
2092195,MGL,REPRESENTS
2279835,CAN,REPRESENTS
2279837,SWE,REPRESENTS
2279839,POL,REPRESENTS
2279841,UKR,REPRESENTS
2279843,KUW,REPRESENTS
2279845,CZE,REPRESENTS
2279852,JPN,REPRESENTS
2279869,EGY,REPRESENTS
2279872,MAS,REPRESENTS
2279877,AUS,REPRESENTS
2279878,HKG,REPRESENTS
2279886,CHN,REPRESENTS
2279893,CRO,REPRESENTS
2279896,PER,REPRESENTS
2279897,MEX,REPRESENTS
2279900,GBR,REPRESENTS
2281421,ITA,REPRESENTS
2281422,EGY,REPRESENTS
2281423,FRA,REPRESENTS
2281425,ITA,REPRESENTS
2281428,UKR,REPRESENTS
2281429,ESP,REPRESENTS
2281430,AUS,REPRESENTS
2281433,HUN,REPRESENTS
2281434,JPN,REPRESENTS
2281953,GER,REPRESENTS
2281954,GRE,REPRESENTS
2281955,ESP,REPRESENTS
2281956,GBR,REPRESENTS
2281957,SGP,REPRESENTS
2281958,SLO,REPRESENTS
2281959,RSA,REPRESENTS
2281960,MNE,REPRESENTS
2281962,NED,REPRESENTS
2281963,USA,REPRESENTS
2281964,HUN,REPRESENTS
2281965,USA,REPRESENTS
2281967,MAS,REPRESENTS
2281973,SRB,REPRESENTS
2281974,KOR,REPRESENTS
2281976,USA,REPRESENTS
2281977,EGY,REPRESENTS
2281978,GRE,REPRESENTS
2281979,PUR,REPRESENTS
2281990,NED,REPRESENTS
2281997,CRO,REPRESENTS
2281998,GRE,REPRESENTS
2288825,IRI,REPRESENTS
2310748,USA,REPRESENTS
2318060,AUS,REPRESENTS
2318063,ITA,REPRESENTS
2318067,INA,REPRESENTS
2318076,FRA,REPRESENTS
2318080,MEX,REPRESENTS
2318089,CAN,REPRESENTS
2318093,GER,REPRESENTS
2318098,ESP,REPRESENTS
2318102,ROU,REPRESENTS
2473637,JPN,REPRESENTS
2473638,VEN,REPRESENTS
2473639,MAS,REPRESENTS
2473640,IRI,REPRESENTS
2473641,SRB,REPRESENTS
2473642,KOR,REPRESENTS
2473643,LBN,REPRESENTS
2473644,MDA,REPRESENTS
2473645,POL,REPRESENTS
2473646,UKR,REPRESENTS
2473647,AUS,REPRESENTS
2473648,BRA,REPRESENTS
2473649,CAN,REPRESENTS
2473650,PAN,REPRESENTS
2473652,BEL,REPRESENTS
2475179,TUN,REPRESENTS
2475180,MEX,REPRESENTS
2475181,CRO,REPRESENTS
2475197,CHN,REPRESENTS
2476088,CAN,REPRESENTS
2480426,JOR,REPRESENTS
2480430,NIG,REPRESENTS
2480431,ITA,REPRESENTS
2480432,TPE,REPRESENTS
2480534,EGY,REPRESENTS
2482372,TUN,REPRESENTS
2482551,AZE,REPRESENTS
2482584,UZB,REPRESENTS
2482611,MAR,REPRESENTS
2483837,EGY,REPRESENTS
2483874,IRI,REPRESENTS
2483960,IRQ,REPRESENTS
2484641,KAZ,REPRESENTS
2484901,KAZ,REPRESENTS
2489078,POR,REPRESENTS
2489144,AUS,REPRESENTS
2489171,PER,REPRESENTS
2490851,FRA,REPRESENTS
2490853,FRA,REPRESENTS
2490854,FRA,REPRESENTS
2490855,FRA,REPRESENTS
2490856,FRA,REPRESENTS
2490861,FRA,REPRESENTS
2490881,FRA,REPRESENTS
2490891,FRA,REPRESENTS
2490892,FRA,REPRESENTS
2490893,FRA,REPRESENTS
2490896,FRA,REPRESENTS
2490897,FRA,REPRESENTS
2490898,FRA,REPRESENTS
2490899,FRA,REPRESENTS
2490900,FRA,REPRESENTS
2490901,FRA,REPRESENTS
2491529,USA,REPRESENTS
2492445,AUS,REPRESENTS
2495111,UZB,REPRESENTS
2498247,GBR,REPRESENTS
2499018,ITA,REPRESENTS
2499102,USA,REPRESENTS
2499115,USA,REPRESENTS
2500371,FRA,REPRESENTS
2500375,CHI,REPRESENTS
2627678,USA,REPRESENTS
2697110,USA,REPRESENTS
2780660,DEN,REPRESENTS
2786885,IRL,REPRESENTS
2844406,ESP,REPRESENTS
2844513,NOR,REPRESENTS
2844649,SUI,REPRESENTS
2844759,SWE,REPRESENTS
2872012,PHI,REPRESENTS
