coach_code:ID(Coach-ID),name,gender,function,category,country_code,country
1880219,GALKIN Evgeniy,Male,Coach,C,UZB,Uzbekistan
1880226,ABDUSAMATOV Khusniddin,Male,Coach,C,UZB,Uzbekistan
1880388,MWEMA Kevin,Male,Head Coach,C,KEN,Kenya
1880389,AMONDE Andrew,Male,Assistant Coach,C,KEN,Kenya
1880390,KISIA Louis,Male,Assistant Coach,C,KEN,Kenya
1880620,HRUBESCH Horst,Male,Head Coach,C,GER,Germany
1880626,CARLSON Britta,Female,Assistant Coach,C,GER,Germany
1880629,FUCHS Michael,Male,Goalkeeper Coach,C,GER,Germany
1880639,NOERENBERG Thomas,Male,Assistant Coach,C,GER,Germany
1880657,MUKHAMEDOVA Rano,Female,Coach,C,UZB,Uzbekistan
1880659,VLASOVA Liliya,Female,Coach,C,UZB,Uzbekistan
1887640,KHAN Pavel,Male,Coach,C,UZB,Uzbekistan
1887642,RAFALOVICH Maksim,Male,Coach,C,UZB,Uzbekistan
1887644,KHAN Vladimir,Male,Coach,C,UZB,Uzbekistan
1887648,BAYKUZIYEV Jasur,Male,Coach,C,UZB,Uzbekistan
1888131,PAKKAN Saim,Male,Assistant Coach,C,SRB,Serbia
1888241,NISHIIRI Toshihiro,Male,Goalkeeper Coach,C,JPN,Japan
1888242,IKEDA Futoshi,Male,Head Coach,C,JPN,Japan
1888246,MIYAMOTO Tomomi,Female,Assistant Coach,C,JPN,Japan
1888338,MENEZES Jude,Male,Head Coach,C,JPN,Japan
1888344,OZAWA Kazuyuki,Male,Assistant Coach,C,JPN,Japan
1888372,ERSIMSEK Ahmetcan,Male,Assistant Coach,C,SRB,Serbia
1888498,ROTHMAN Neville,Male,Assistant Coach,C,IRL,Ireland
1891425,GELLE Noemi Katalin,Female,Coach,C,HUN,Hungary
1891653,NAGANUMA Atsushi,Male,Assistant Coach,C,JPN,Japan
1891659,HAZUI Shota,Male,Assistant Coach,C,JPN,Japan
1891667,SHIOTA Yoshinori,Male,Head Coach,C,JPN,Japan
1891684,KAWAI Mayo,Female,Coach,C,JPN,Japan
1891686,KASHIMA Tomoyo,Female,Coach,C,JPN,Japan
1891688,NAKAJIMA Takako,Female,Coach,C,JPN,Japan
1892047,KAPADZE Timur,Male,Head Coach,C,UZB,Uzbekistan
1892050,CHIGODAEV Sergey,Male,Assistant Coach,C,UZB,Uzbekistan
1893216,GILLE Guillaume,Male,Head Coach,C,FRA,France
1893217,MATHE Erick,Male,Assistant Coach,C,FRA,France
1893323,ALONSO TAPIA Rosendo,Male,Coach,C,FRA,France
1893324,ALONSO TAPIA Gulsah,Female,Coach,C,FRA,France
1893325,JUNG Woomin,Male,Coach,C,FRA,France
1894657,WILLE Jonas,Male,Head Coach,C,NOR,Norway
1894659,EGE Steinar,Male,Assistant Coach,C,NOR,Norway
1894661,BOQUIST Martin,Male,Assistant Coach,C,NOR,Norway
1894662,OLSSON Mats,Male,Assistant Coach,C,NOR,Norway
1894663,HERGEIRSSON Thorir,Male,Head Coach,C,NOR,Norway
1894666,LARSEN Tonje,Female,Assistant Coach,C,NOR,Norway
1894756,JOERGENSEN Michael,Male,Coach,C,NOR,Norway
1895149,DRASOCZKY Imre,Male,Coach,C,HUN,Hungary
1895269,BRUUN Michael,Male,Assistant Coach,C,DEN,Denmark
1895270,JOERGENSEN Lars,Male,Assistant Coach,C,DEN,Denmark
1895275,KRONBORG Henrik,Male,Assistant Coach,C,DEN,Denmark
1895276,JACOBSEN Nikolaj,Male,Head Coach,C,DEN,Denmark
1895279,JENSEN Jesper,Male,Head Coach,C,DEN,Denmark
1895408,SOYEZ Frederic,Male,Head Coach,C,FRA,France
1895409,SALA Ramon,Male,Assistant Coach,C,FRA,France
1895410,LOMBI Jorge,Male,Assistant Coach,C,FRA,France
1895517,SZUCS Robert,Male,Coach,C,HUN,Hungary
1895520,TRENKA Janos,Male,Coach,C,HUN,Hungary
1896158,HARVEY Mike,Male,Coach,C,GBR,Great Britain
1896160,MAIZEROI Torann,Male,Coach,C,GBR,Great Britain
1896164,MILLER Nelson,Male,Coach,C,GBR,Great Britain
1896167,STAMPER Martin,Male,Coach,C,GBR,Great Britain
1896246,POLJAKOVA Shanna,Female,Coach,C,GER,Germany
1896251,BELENKI Valeri,Male,Coach,C,GER,Germany
1896252,CATANOIU Grigore,Male,Coach,C,GER,Germany
1896253,BRYLOK Hubert,Male,Coach,C,GER,Germany
1896258,TEMME Kay,Male,Coach,C,GER,Germany
1896262,PFEFFER Camilla,Female,Coach,C,GER,Germany
1896275,RASKINA Yuliya,Female,Coach,C,GER,Germany
1896279,CAMICIOTTI Giacomo,Male,Coach,C,GER,Germany
1896290,DUNAVSKA MINEKOVA Kameliya,Female,Coach,C,GER,Germany
1896562,PARECKI Antoni Jerzy,Male,Assistant Coach,C,JPN,Japan
1896698,SNYMAN Philip,Male,Head Coach,C,RSA,South Africa
1896700,LUCKAN Ghafoer,Male,Assistant Coach,C,RSA,South Africa
1897091,GONZALEZ NUNEZ Arlen,Male,Coach,C,CUB,Cuba
1897234,SHARABI Yechiam,Male,Coach,C,ISR,Israel
1897292,BLECHER SIDOROVA Svetlana,Female,Coach,C,ISR,Israel
1897395,ABDELRAHMAN Osama,Male,Coach,C,EGY,Egypt
1897398,YOUSSEF Mohamed,Male,Coach,C,EGY,Egypt
1897518,ZAITSEVA Olesia,Female,Coach,C,UKR,Ukraine
1897547,SARTYNSKYI Gennadii,Male,Coach,C,UKR,Ukraine
1897548,GORBACHEVA Iryna,Female,Coach,C,UKR,Ukraine
1897550,KAIUKOVA Iuliia,Female,Coach,C,UKR,Ukraine
1897590,DERYUGINA Iryna,Female,Coach,C,UKR,Ukraine
1897591,BLOKHINA Iryna,Female,Coach,C,UKR,Ukraine
1897592,KARDASH Maryna,Female,Coach,C,UKR,Ukraine
1897594,VASYLIEVA Marharyta,Female,Coach,C,UKR,Ukraine
1897752,KHOLOD Maryna,Female,Coach,C,NZL,New Zealand
1897775,RA Sanghyun,Male,Coach,C,FIJ,Fiji
1897904,KIM Hyou Mi,Female,Coach,C,KOR,Korea
1898398,ROSILLO ATENCIA Jose Antonio,Male,Coach,C,NOR,Norway
1898540,LAI Yawen,Female,Assistant Coach,C,CHN,China
1898944,HERBERT Gordie,Male,Coach,C,GER,Germany
1898950,THOMAIDIS Lisa,Female,Coach,C,GER,Germany
1898951,PARSONS Sidney,Female,Assistant Coach,C,GER,Germany
1898953,MEADOWS Clarissa,Female,Assistant Coach,C,GER,Germany
1898956,THUSS Anne,Female,Coach,C,GER,Germany
1898959,PERWAS Klaus,Male,Assistant Coach,C,GER,Germany
1898960,BRIELMEIER Bret,Male,Coach,C,GER,Germany
1898962,HERBERT Daniel,Male,Assistant Coach,C,GER,Germany
1899054,REVINGTON Paul,Male,Head Coach,C,GBR,Great Britain
1899056,BROWNE Kwan,Male,Coach,C,GBR,Great Britain
1899057,GLYNN Katie,Female,Assistant Coach,C,GBR,Great Britain
1899058,HICKMAN Mark,Male,Coach,C,GBR,Great Britain
1899060,PAUL Jody,Male,Coach,C,GBR,Great Britain
1899061,RALPH David,Male,Head Coach,C,GBR,Great Britain
